"Common Name","NPPSD 4-Letter Code"
"Glaucous-winged Gull","GWGU"
"Unidentified Kittiwake","UNKI"
"Unidentified Murre","UNMU"
"Brachyramphus Murrelet","BRMU"
"Glaucous Gull","GLGU"
"Mew Gull","MEGU"
"Tufted Puffin","TUPU"
"Dall's Porpoise","DAPO"
"Northern Fulmar","NOFU"
"Fork-tailed Storm-petrel","FTSP"
"Marbled Murrelet","MAMU"
"Herring gull","HEGU"
"Steller Sea Lion","STSL"
"Horned Puffin","HOPU"
"Unidentified Scoter","UNSC"
"Harbor Porpoise","HAPO"
"Red-faced Cormorant","RFCO"
"Kittlitz's Murrelet","KIMU"
"Leach's Storm-petrel","LESP"
"Northern Fur Seal","NOFS"
"Parakeet Auklet","PAAU"
"Unidentified Loon","UNLO"
"Cassin's Auklet","CAAU"
"Pigeon Guillemot","PIGU"
"Sooty Shearwater","SOSH"
"Unidentified Alcid","UNAL"
"Unidentified Grebe","UNGR"
"Unidentified Shearwater","UNSH"
"Black-legged Kittiwake","BLKI"
"Unidentified Bird","UNBI"
"Pomarine Jaeger","POJA"
"Short-tailed Shearwater","STSH"
"Unidentified Gull","UNGU"
"Unidentified Sandpiper","UNSA"
"Humpback Whale","HBWH"
"Unidentified Duck, Goose, or Swan","UNWF"
"Pacific Loon","PALO"
"Unidentified Skua","UNSK"
"White-winged Scoter","WWSC"
"Black-footed Albatross","BFAL"
"Unidentified Procellariiformes","UNPR"
"Parasitic Jaeger","PAJA"
"Unidentified Cormorant","UNCO"
"Unidentified Phalarope","UNPH"
"Unidentified Whale","UNWH"
"Unidentified Puffin","UNPU"
"Thick-billed Murre","TBMU"
"Black Scoter","BLSC"
"Harlequin Duck","HADU"
"Sea Otter","SEOT"
"Common Murre","COMU"
"Least Auklet","LEAU"
"Unidentified Shorebird","UNSB"
"Long-tailed Jaeger","LTJA"
"Ancient Murrelet","ANMU"
"Arctic Tern","ARTE"
"Red-necked Phalarope","RNPH"
"Ruddy Turnstone","RUTU"
